log_message,stack_trace,test_name,error_type,duration_ms,retry_count,memory_mb,cpu_percent,line_number,file_count,test_count,failure_rate_history,time_since_last_success,network_latency_ms,db_response_time_ms,queue_size,component,environment,severity,build_tool,os,language,ci_platform,trigger_type,branch_type,day_of_week,is_timeout,is_network_error,has_retry,is_first_run,parallel_execution,has_external_dependency,is_flaky
Thread pool saturation caused temporary request rejection,"org.apache.http.conn.ConnectTimeoutException: Connect to session.internal.example.com timed out
    at org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect
    at com.example.session.HttpClient.execute(HttpClient.java:205)
    at com.example.test.ReadConfigSessionTest.test_read_config_session(ReadConfigSessionTest.java:64)",test_read_config_session,ConnectionResetException,1202,0,135,23,484,40,178,0.568,22.86,85,307,698,session,test,warning,pip,windows,java,circleci,pull_request,main,thursday,1,1,1,0,0,1,1
Invalid argument: id cannot be null,"java.util.concurrent.TimeoutException: Future timed out after 3000ms
    at java.util.concurrent.FutureTask.get(FutureTask.java:205)
    at com.example.notification.AsyncService.await(AsyncService.java:161)
    at com.example.test.CreateUserNotificationTest.test_create_user_notification(CreateUserNotificationTest.java:76)",test_create_user_notification,SocketTimeoutException,535,1,509,28,850,22,180,0.625,53.38,28,34,79,notification,integration,warning,gradle,macos,go,gitlab_ci,schedule,hotfix,tuesday,1,0,0,0,1,0,1
Schema validation failed: id does not match pattern,,test_read_payment_api,SocketTimeoutException,175,0,284,17,703,41,451,0.632,147.94,40,66,16,api,staging,warning,maven,linux,javascript,travis,manual,main,thursday,0,0,1,0,0,0,0
"Connection to mongodb timed out after 30000ms, retry attempt 0",,test_search_user_analytics,NullPointerException,253,0,472,4,327,1,193,0.148,1.83,27,22,459,analytics,staging,info,cargo,linux,python,github_actions,pull_request,main,tuesday,1,1,0,0,0,1,1
Async operation timed out but completed successfully on retry,"org.apache.http.conn.ConnectTimeoutException: Connect to analytics.internal.example.com timed out
    at org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect
    at com.example.analytics.HttpClient.execute(HttpClient.java:466)
    at com.example.test.DeleteSessionAnalyticsTest.test_delete_session_analytics(DeleteSessionAnalyticsTest.java:113)",test_delete_session_analytics,ResourceBusyException,986,0,218,4,855,20,283,0.275,13.39,151,232,538,analytics,prod,warning,pip,macos,javascript,jenkins,tag,develop,saturday,0,1,0,0,1,0,1
State machine in invalid state: ERROR,,test_authenticate_payment_api,ArithmeticException,1138,2,345,5,341,11,417,0.301,76.58,118,27,598,api,staging,info,pip,macos,rust,circleci,manual,feature,tuesday,0,0,0,1,0,0,0
"Cache miss rate spike: 72%, temporary performance degradation","java.lang.NullPointerException: Cannot invoke method on null object
    at com.example.analytics.AnalyticsService.handle(AnalyticsService.java:430)
    at com.example.analytics.AnalyticsHandler.transform(AnalyticsHandler.java:414)
    at com.example.test.AuthorizeRequestAnalyticsTest.test_authorize_request_analytics(AuthorizeRequestAnalyticsTest.java:143)",test_authorize_request_analytics,RaceConditionException,448,1,287,8,475,10,47,0.46,42.24,234,42,143,analytics,staging,warning,pip,windows,kotlin,gitlab_ci,push,hotfix,friday,1,1,1,0,1,0,1
Async operation timed out but completed successfully on retry,"java.util.concurrent.TimeoutException: Future timed out after 3000ms
    at java.util.concurrent.FutureTask.get(FutureTask.java:205)
    at com.example.storage.AsyncService.await(AsyncService.java:381)
    at com.example.test.DeletePaymentStorageTest.test_delete_payment_storage(DeletePaymentStorageTest.java:27)",test_delete_payment_storage,RetryableException,640,1,639,27,544,32,491,0.52,27.99,105,102,229,storage,test,warning,cargo,macos,python,github_actions,schedule,feature,friday,1,0,0,0,0,0,1
Async operation timed out but completed successfully on retry,,test_authorize_response_queue,IllegalStateException,574,1,321,45,176,27,424,0.307,6.44,159,36,755,queue,test,critical,pip,macos,python,travis,push,release,sunday,0,1,0,0,0,1,1
Array index 589 out of bounds for length 23,"org.apache.http.conn.ConnectTimeoutException: Connect to queue.internal.example.com timed out
    at org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect
    at com.example.queue.HttpClient.execute(HttpClient.java:205)
    at com.example.test.SearchPaymentQueueTest.test_search_payment_queue(SearchPaymentQueueTest.java:166)",test_search_payment_queue,ConcurrencyException,3716,1,207,66,500,46,423,0.559,15.45,78,78,578,queue,integration,info,gradle,linux,kotlin,gitlab_ci,pull_request,release,friday,0,0,1,0,0,0,1
Circular dependency detected in database,"java.util.concurrent.TimeoutException: Future timed out after 1000ms
    at java.util.concurrent.FutureTask.get(FutureTask.java:205)
    at com.example.database.AsyncService.await(AsyncService.java:233)
    at com.example.test.AuthenticateCacheDatabaseTest.test_authenticate_cache_database(AuthenticateCacheDatabaseTest.java:184)",test_authenticate_cache_database,ConnectionResetException,814,0,128,22,65,2,341,0.313,37.33,78,36,658,database,prod,error,maven,macos,java,circleci,schedule,feature,sunday,1,0,0,0,0,0,0
Async operation timed out but completed successfully on retry,"java.net.SocketTimeoutException: Read timed out
    at java.net.SocketInputStream.socketRead0(Native Method)
    at com.example.analytics.AnalyticsService.execute(AnalyticsService.java:265)
    at com.example.test.AuthorizeRequestAnalyticsTest.test_authorize_request_analytics(AuthorizeRequestAnalyticsTest.java:156)",test_authorize_request_analytics,LockContentionException,6096,0,69,41,962,47,122,0.009,5.72,67,29,816,analytics,integration,info,maven,windows,python,travis,tag,develop,saturday,1,0,0,0,0,0,0
Memory pressure caused GC pause of 419ms during test,"java.lang.IndexOutOfBoundsException: Index 55 out of bounds for length 36
    at java.util.ArrayList.get(ArrayList.java:459)
    at com.example.user.UserService.run(UserService.java:186)
    at com.example.test.TransformDataUserTest.test_transform_data_user(TransformDataUserTest.java:25)",test_transform_data_user,SecurityException,4918,0,348,27,545,11,358,0.305,1.13,28,29,803,user,dev,info,gradle,macos,kotlin,github_actions,manual,release,friday,1,1,0,0,0,1,0
State machine in invalid state: UNKNOWN,"java.net.SocketTimeoutException: Read timed out
    at java.net.SocketInputStream.socketRead0(Native Method)
    at com.example.auth.AuthService.execute(AuthService.java:89)
    at com.example.test.ReadConfigAuthTest.test_read_config_auth(ReadConfigAuthTest.java:52)",test_read_config_auth,SocketTimeoutException,1621,0,500,36,980,28,416,0.812,42.73,53,79,509,auth,integration,error,npm,linux,javascript,gitlab_ci,manual,develop,sunday,0,0,1,0,1,0,1
Type mismatch: expected SUCCESS but got false,"java.lang.NullPointerException: Cannot invoke method on null object
    at com.example.payment.PaymentService.run(PaymentService.java:376)
    at com.example.payment.PaymentHandler.validate(PaymentHandler.java:157)
    at com.example.test.TransformConfigPaymentTest.test_transform_config_payment(TransformConfigPaymentTest.java:143)",test_transform_config_payment,MissingFieldException,8122,0,248,12,739,48,62,0.594,10.21,306,141,23,payment,integration,error,pip,linux,javascript,github_actions,manual,main,saturday,1,0,1,0,1,0,1
"Network latency spike detected: 3490ms, threshold exceeded",,test_filter_config_storage,ServiceUnavailableException,1251,1,256,33,472,6,461,0.48,33.19,215,42,304,storage,test,warning,go,macos,go,circleci,manual,release,saturday,0,0,0,0,0,1,1
"Connection to kafka timed out after 1000ms, retry attempt 3","java.net.SocketTimeoutException: Read timed out
    at java.net.SocketInputStream.socketRead0(Native Method)
    at com.example.database.DatabaseService.process(DatabaseService.java:102)
    at com.example.test.AuthorizeCacheDatabaseTest.test_authorize_cache_database(AuthorizeCacheDatabaseTest.java:83)",test_authorize_cache_database,TimeoutException,2388,3,716,20,838,29,10,0.134,12.1,108,40,890,database,dev,info,cargo,windows,javascript,github_actions,pull_request,main,saturday,0,1,0,0,1,0,1
"Resource memory busy, waiting for lock release",,test_update_order_notification,ArithmeticException,4109,2,124,40,898,8,112,0.282,11.89,209,37,544,notification,staging,error,npm,linux,javascript,github_actions,pull_request,develop,sunday,1,1,1,0,1,1,1
"Resource connection busy, waiting for lock release","java.net.SocketTimeoutException: Read timed out
    at java.net.SocketInputStream.socketRead0(Native Method)
    at com.example.storage.StorageService.handle(StorageService.java:187)
    at com.example.test.AuthenticateDataStorageTest.test_authenticate_data_storage(AuthenticateDataStorageTest.java:59)",test_authenticate_data_storage,TransientFailureException,326,3,2106,37,552,25,271,0.524,15.57,15,14,52,storage,staging,critical,pip,macos,go,jenkins,schedule,main,tuesday,0,1,0,0,1,1,1
Async operation timed out but completed successfully on retry,,test_search_user_api,TransientFailureException,146,0,165,5,456,41,236,0.724,2.31,312,81,388,api,staging,info,npm,linux,go,gitlab_ci,pull_request,hotfix,wednesday,1,0,1,0,1,0,1
Assertion failed: result != null was false,,test_search_connection_storage,AssertionError,4929,0,294,92,445,41,374,0.534,83.27,16,25,645,storage,prod,warning,gradle,windows,python,github_actions,pull_request,release,friday,0,0,0,0,0,1,0
"External API redis returned 503, scheduled retry in 1000ms","java.lang.NullPointerException: Cannot invoke method on null object
    at com.example.storage.StorageService.execute(StorageService.java:217)
    at com.example.storage.StorageHandler.convert(StorageHandler.java:323)
    at com.example.test.ValidateRequestStorageTest.test_validate_request_storage(ValidateRequestStorageTest.java:158)",test_validate_request_storage,TransientFailureException,505,0,176,16,744,9,127,0.471,32.68,24,18,23,storage,prod,warning,gradle,windows,rust,jenkins,manual,develop,saturday,0,0,0,0,0,0,0
"Cache miss rate spike: 98%, temporary performance degradation","java.lang.NullPointerException: Cannot invoke method on null object
    at com.example.analytics.AnalyticsService.execute(AnalyticsService.java:454)
    at com.example.analytics.AnalyticsHandler.transform(AnalyticsHandler.java:382)
    at com.example.test.ValidateConnectionAnalyticsTest.test_validate_connection_analytics(ValidateConnectionAnalyticsTest.java:142)",test_validate_connection_analytics,AssertionError,5989,1,1736,10,270,20,163,0.555,16.4,44,14,822,analytics,prod,error,pip,linux,python,github_actions,manual,feature,sunday,0,1,1,1,1,1,1
"Database connection pool exhausted, waiting for available connection","org.apache.http.conn.ConnectTimeoutException: Connect to database.internal.example.com timed out
    at org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect
    at com.example.database.HttpClient.execute(HttpClient.java:275)
    at com.example.test.ReadSessionDatabaseTest.test_read_session_database(ReadSessionDatabaseTest.java:81)",test_read_session_database,RaceConditionException,2445,2,247,100,977,30,215,0.191,23.26,212,41,920,database,dev,critical,go,windows,kotlin,github_actions,manual,feature,friday,1,1,1,0,0,0,1
Assertion failed: x > 0 was false,,test_update_request_database,ClassCastException,1086,1,1140,23,528,28,366,0.081,70.73,82,38,981,database,integration,info,go,windows,kotlin,jenkins,pull_request,main,monday,1,0,0,0,0,1,0
Test TestUser_17 passed after 0 retries due to timing issue,,test_update_payment_user,SecurityException,307,0,818,3,790,17,431,0.323,33.48,26,26,267,user,test,critical,pip,windows,javascript,jenkins,manual,main,friday,1,1,1,0,0,0,1
Assertion failed: x > 0 was false,"java.util.concurrent.TimeoutException: Future timed out after 3000ms
    at java.util.concurrent.FutureTask.get(FutureTask.java:205)
    at com.example.queue.AsyncService.await(AsyncService.java:395)
    at com.example.test.ReadConfigQueueTest.test_read_config_queue(ReadConfigQueueTest.java:72)",test_read_config_queue,RaceConditionException,382,0,1287,7,539,18,91,0.286,36.96,213,10,853,queue,prod,critical,pip,linux,go,jenkins,tag,feature,wednesday,0,0,1,1,1,0,1
Memory leak detected: 1071 bytes not freed,,test_search_config_session,ResourceBusyException,978,0,365,17,243,6,427,0.536,3.88,101,94,432,session,integration,critical,npm,macos,kotlin,gitlab_ci,pull_request,release,saturday,1,1,0,0,0,0,1
Memory leak detected: 48096 bytes not freed,,test_process_response_user,ServiceUnavailableException,3691,0,239,15,814,4,4,0.327,46.07,114,60,224,user,staging,info,maven,linux,java,circleci,schedule,develop,tuesday,1,1,0,0,0,0,0
State machine in invalid state: INVALID,,test_authenticate_response_storage,IllegalStateException,1713,0,258,72,838,45,375,0.0,12.92,38,50,495,storage,staging,critical,npm,macos,java,github_actions,pull_request,main,wednesday,1,0,1,0,0,0,0
"External API redis returned 503, scheduled retry in 500ms","java.util.concurrent.TimeoutException: Future timed out after 10000ms
    at java.util.concurrent.FutureTask.get(FutureTask.java:205)
    at com.example.storage.AsyncService.await(AsyncService.java:470)
    at com.example.test.UpdatePaymentStorageTest.test_update_payment_storage(UpdatePaymentStorageTest.java:55)",test_update_payment_storage,ArithmeticException,18674,2,263,18,319,29,353,0.458,0.46,417,60,541,storage,staging,warning,cargo,windows,java,circleci,tag,hotfix,saturday,0,1,0,0,0,0,1
"Service elasticsearch temporarily unavailable, backing off for 5000ms","java.lang.AssertionError: expected:<200> but was:<500>
    at org.junit.Assert.fail(Assert.java:89)
    at org.junit.Assert.assertEquals(Assert.java:118)
    at com.example.test.ProcessRequestUserTest.test_process_request_user(ProcessRequestUserTest.java:128)",test_process_request_user,AssertionError,1734,1,340,30,737,15,39,0.528,11.14,186,34,463,user,integration,warning,maven,linux,javascript,github_actions,push,main,sunday,0,0,1,0,0,0,1
"Database connection pool exhausted, waiting for available connection","java.lang.NullPointerException: Cannot invoke method on null object
    at com.example.notification.NotificationService.handle(NotificationService.java:299)
    at com.example.notification.NotificationHandler.transform(NotificationHandler.java:64)
    at com.example.test.CreateCacheNotificationTest.test_create_cache_notification(CreateCacheNotificationTest.java:186)",test_create_cache_notification,AssertionError,1149,0,264,10,327,32,106,0.476,136.46,136,48,822,notification,test,error,maven,linux,python,travis,pull_request,release,sunday,1,0,0,0,1,1,0
Intermittent failure in notification: connection lost,"java.lang.AssertionError: expected:<true> but was:<500>
    at org.junit.Assert.fail(Assert.java:89)
    at org.junit.Assert.assertEquals(Assert.java:118)
    at com.example.test.CreateCacheNotificationTest.test_create_cache_notification(CreateCacheNotificationTest.java:166)",test_create_cache_notification,IllegalStateException,7125,1,125,10,431,17,393,0.616,25.66,510,40,835,notification,dev,warning,pip,macos,java,circleci,push,release,friday,1,1,0,0,0,1,1
"Network partition simulated, connection restored after 874ms","java.net.SocketTimeoutException: Read timed out
    at java.net.SocketInputStream.socketRead0(Native Method)
    at com.example.queue.QueueService.handle(QueueService.java:463)
    at com.example.test.TransformResponseQueueTest.test_transform_response_queue(TransformResponseQueueTest.java:37)",test_transform_response_queue,ServiceUnavailableException,1166,0,308,69,932,32,18,0.337,15.69,826,61,410,queue,test,warning,npm,windows,rust,gitlab_ci,push,develop,sunday,1,0,0,0,1,0,0
Type mismatch: expected 200 but got 0,"java.lang.NullPointerException: Cannot invoke method on null object
    at com.example.session.SessionService.run(SessionService.java:183)
    at com.example.session.SessionHandler.transform(SessionHandler.java:94)
    at com.example.test.FilterRequestSessionTest.test_filter_request_session(FilterRequestSessionTest.java:72)",test_filter_request_session,TransientFailureException,914,1,630,44,542,49,125,0.486,31.27,44,61,768,session,prod,warning,go,linux,go,gitlab_ci,tag,hotfix,friday,0,1,0,1,0,0,0
"External API kafka returned 503, scheduled retry in 500ms","org.apache.http.conn.ConnectTimeoutException: Connect to queue.internal.example.com timed out
    at org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect
    at com.example.queue.HttpClient.execute(HttpClient.java:489)
    at com.example.test.ReadConfigQueueTest.test_read_config_queue(ReadConfigQueueTest.java:142)",test_read_config_queue,NullPointerException,5556,2,1772,5,376,8,241,0.545,4.15,46,18,26,queue,dev,warning,go,macos,python,jenkins,pull_request,main,thursday,0,1,0,1,0,1,1
"Network partition simulated, connection restored after 199ms",,test_process_config_session,RetryableException,1643,2,397,12,224,40,175,0.512,4.52,76,37,373,session,prod,info,go,linux,java,jenkins,tag,develop,sunday,0,1,1,0,1,0,1
Configuration error: property 'cache.ttl' not found,,test_authenticate_response_analytics,TypeMismatchException,769,1,915,39,204,22,14,0.261,73.91,137,20,456,analytics,integration,critical,gradle,linux,python,circleci,manual,feature,saturday,0,0,0,0,1,0,0
Thread pool saturation caused temporary request rejection,,test_search_user_auth,ResourceBusyException,27314,0,1338,34,99,1,19,0.547,6.72,257,28,270,auth,dev,error,maven,macos,javascript,jenkins,schedule,release,monday,1,1,1,1,1,0,1
Type mismatch: expected 200 but got null,"java.lang.AssertionError: expected:<true> but was:<500>
    at org.junit.Assert.fail(Assert.java:89)
    at org.junit.Assert.assertEquals(Assert.java:118)
    at com.example.test.DeleteConnectionSessionTest.test_delete_connection_session(DeleteConnectionSessionTest.java:148)",test_delete_connection_session,ClassCastException,290,1,740,20,30,26,324,0.46,47.96,50,14,996,session,integration,warning,npm,macos,javascript,github_actions,pull_request,hotfix,wednesday,0,0,1,1,0,1,0
Deadlock detected between threads thread-7 and thread-12,,test_authorize_user_api,IllegalStateException,711,1,110,24,424,25,145,0.33,33.56,136,70,14,api,prod,warning,go,macos,kotlin,circleci,push,develop,wednesday,0,0,0,0,0,0,0
Missing required field 'timestamp' in Order,,test_update_request_api,SecurityException,185,0,831,13,114,16,186,0.563,5.8,21,21,477,api,dev,warning,cargo,macos,python,gitlab_ci,push,hotfix,sunday,0,0,0,0,0,0,0
Intermittent failure in user: timeout exceeded,,test_read_cache_user,LockContentionException,6284,0,398,24,506,32,429,0.43,72.47,227,72,168,user,staging,critical,npm,linux,javascript,github_actions,tag,release,saturday,0,0,1,0,1,0,1
Assertion failed: list.size() > 0 was false,,test_update_response_search,ArithmeticException,1319,0,800,33,759,41,169,0.203,4.55,146,144,465,search,staging,info,go,linux,rust,gitlab_ci,tag,hotfix,sunday,0,0,0,0,0,1,0
Deadlock detected between threads thread-13 and thread-5,,test_read_connection_cache,ConcurrencyException,1256,1,162,61,560,6,166,0.729,66.16,218,20,326,cache,test,info,go,linux,rust,jenkins,pull_request,release,sunday,0,0,0,0,1,0,1
Missing required field 'name' in Response,,test_transform_order_database,ResourceBusyException,629,1,337,2,316,32,76,0.477,1.95,256,21,677,database,test,error,pip,macos,kotlin,gitlab_ci,push,feature,wednesday,0,1,0,0,1,0,1
"Database connection pool exhausted, waiting for available connection",,test_update_cache_api,NetworkException,2546,1,271,12,509,15,414,0.702,7.53,57,23,881,api,integration,critical,npm,linux,rust,jenkins,schedule,hotfix,sunday,0,1,0,0,0,0,1
Schema validation failed: status does not match pattern,"java.lang.AssertionError: expected:<SUCCESS> but was:<ERROR>
    at org.junit.Assert.fail(Assert.java:89)
    at org.junit.Assert.assertEquals(Assert.java:118)
    at com.example.test.AuthorizeConfigDatabaseTest.test_authorize_config_database(AuthorizeConfigDatabaseTest.java:196)",test_authorize_config_database,ClassCastException,1593,0,421,9,986,24,418,0.494,118.08,25,56,355,database,dev,warning,gradle,macos,kotlin,circleci,tag,hotfix,friday,1,1,1,0,0,1,0
"Network partition simulated, connection restored after 545ms","java.lang.AssertionError: expected:<SUCCESS> but was:<500>
    at org.junit.Assert.fail(Assert.java:89)
    at org.junit.Assert.assertEquals(Assert.java:118)
    at com.example.test.FilterConnectionApiTest.test_filter_connection_api(FilterConnectionApiTest.java:66)",test_filter_connection_api,ConcurrencyException,3062,1,232,11,11,44,33,0.17,70.77,35,7,884,api,staging,error,cargo,windows,javascript,github_actions,push,release,tuesday,0,0,1,0,0,0,0
Test TestSearch_14 passed after 1 retries due to timing issue,"java.util.concurrent.TimeoutException: Future timed out after 10000ms
    at java.util.concurrent.FutureTask.get(FutureTask.java:205)
    at com.example.search.AsyncService.await(AsyncService.java:61)
    at com.example.test.AuthenticateRequestSearchTest.test_authenticate_request_search(AuthenticateRequestSearchTest.java:96)",test_authenticate_request_search,IllegalStateException,1304,1,764,10,621,35,391,0.121,18.39,110,40,790,search,integration,error,pip,linux,rust,circleci,pull_request,main,thursday,0,1,0,0,1,1,1
Intermittent failure in cache: resource unavailable,"org.apache.http.conn.ConnectTimeoutException: Connect to cache.internal.example.com timed out
    at org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect
    at com.example.cache.HttpClient.execute(HttpClient.java:118)
    at com.example.test.SearchConnectionCacheTest.test_search_connection_cache(SearchConnectionCacheTest.java:187)",test_search_connection_cache,RaceConditionException,489,2,508,57,4,41,281,0.45,28.8,64,25,289,cache,test,info,gradle,windows,kotlin,circleci,manual,release,sunday,1,0,1,0,1,0,1
"Network partition simulated, connection restored after 4523ms",,test_authorize_payment_user,SocketTimeoutException,1419,1,864,3,280,29,197,0.769,16.62,99,47,736,user,dev,info,go,windows,kotlin,jenkins,pull_request,develop,saturday,0,0,1,0,0,1,1
"Network latency spike detected: 4981ms, threshold exceeded","java.util.concurrent.TimeoutException: Future timed out after 1000ms
    at java.util.concurrent.FutureTask.get(FutureTask.java:205)
    at com.example.queue.AsyncService.await(AsyncService.java:446)
    at com.example.test.CreateCacheQueueTest.test_create_cache_queue(CreateCacheQueueTest.java:23)",test_create_cache_queue,ValidationException,7542,1,1529,6,775,9,271,0.375,94.11,37,101,935,queue,dev,warning,go,linux,go,circleci,schedule,main,friday,0,0,0,0,0,1,1
"Service redis temporarily unavailable, backing off for 5000ms",,test_filter_response_queue,ConnectionResetException,3610,0,310,55,436,44,94,0.442,23.43,25,48,986,queue,integration,info,cargo,windows,kotlin,circleci,tag,feature,monday,0,1,0,0,0,1,1
"Database connection pool exhausted, waiting for available connection","java.lang.IndexOutOfBoundsException: Index 53 out of bounds for length 36
    at java.util.ArrayList.get(ArrayList.java:459)
    at com.example.session.SessionService.execute(SessionService.java:230)
    at com.example.test.UpdateOrderSessionTest.test_update_order_session(UpdateOrderSessionTest.java:142)",test_update_order_session,SocketTimeoutException,817,0,323,11,234,2,434,0.447,4.47,240,102,647,session,test,critical,gradle,linux,java,travis,manual,release,friday,0,0,1,0,0,1,1
Configuration error: property 'timeout.ms' not found,"java.util.concurrent.TimeoutException: Future timed out after 1000ms
    at java.util.concurrent.FutureTask.get(FutureTask.java:205)
    at com.example.analytics.AsyncService.await(AsyncService.java:320)
    at com.example.test.ReadDataAnalyticsTest.test_read_data_analytics(ReadDataAnalyticsTest.java:193)",test_read_data_analytics,MissingFieldException,6532,0,102,5,693,35,275,0.351,16.2,131,214,161,analytics,test,warning,maven,windows,python,gitlab_ci,pull_request,hotfix,friday,0,1,1,1,0,1,1
NullPointerException at DatabaseService.java:387 - config is null,"java.lang.NullPointerException: Cannot invoke method on null object
    at com.example.database.DatabaseService.process(DatabaseService.java:364)
    at com.example.database.DatabaseHandler.validate(DatabaseHandler.java:396)
    at com.example.test.FilterResponseDatabaseTest.test_filter_response_database(FilterResponseDatabaseTest.java:181)",test_filter_response_database,IllegalArgumentException,254,1,324,8,360,26,93,0.362,21.44,25,51,637,database,dev,info,npm,macos,go,circleci,tag,main,wednesday,1,0,1,0,0,0,1
Assertion failed: x > 0 was false,"java.lang.AssertionError: expected:<SUCCESS> but was:<500>
    at org.junit.Assert.fail(Assert.java:89)
    at org.junit.Assert.assertEquals(Assert.java:118)
    at com.example.test.UpdatePaymentCacheTest.test_update_payment_cache(UpdatePaymentCacheTest.java:80)",test_update_payment_cache,ArithmeticException,229,1,486,45,826,48,212,0.021,44.16,67,66,400,cache,staging,info,npm,macos,python,gitlab_ci,manual,feature,monday,1,0,1,1,0,0,0
"Cache miss rate spike: 67%, temporary performance degradation","java.lang.IndexOutOfBoundsException: Index 59 out of bounds for length 17
    at java.util.ArrayList.get(ArrayList.java:459)
    at com.example.database.DatabaseService.execute(DatabaseService.java:253)
    at com.example.test.SearchConnectionDatabaseTest.test_search_connection_database(SearchConnectionDatabaseTest.java:176)",test_search_connection_database,IllegalStateException,263,1,487,28,181,37,390,0.32,5.92,78,58,337,database,integration,error,go,macos,java,github_actions,tag,develop,tuesday,0,0,0,0,0,0,0
Deadlock detected between threads thread-4 and thread-10,"java.lang.NullPointerException: Cannot invoke method on null object
    at com.example.analytics.AnalyticsService.process(AnalyticsService.java:151)
    at com.example.analytics.AnalyticsHandler.validate(AnalyticsHandler.java:50)
    at com.example.test.SearchSessionAnalyticsTest.test_search_session_analytics(SearchSessionAnalyticsTest.java:194)",test_search_session_analytics,TemporaryFailureException,11544,1,141,37,988,18,445,0.162,72.17,118,42,70,analytics,integration,warning,go,macos,javascript,github_actions,manual,develop,sunday,0,0,0,0,0,0,0
"Service redis temporarily unavailable, backing off for 1000ms",,test_create_order_cache,TransientFailureException,490,3,164,11,578,12,23,0.559,6.19,136,22,891,cache,staging,critical,gradle,windows,rust,gitlab_ci,push,hotfix,sunday,1,0,1,0,1,0,1
Configuration error: property 'api.key' not found,,test_filter_cache_analytics,TemporaryFailureException,805,0,836,25,103,18,105,0.233,26.85,79,37,373,analytics,prod,info,npm,linux,go,travis,push,release,saturday,1,1,0,1,1,1,0
Contract violation: size > 0 not satisfied,,test_delete_user_database,ValidationException,1042,3,619,42,214,29,159,0.403,95.4,33,11,349,database,prod,critical,pip,windows,go,github_actions,schedule,main,friday,0,1,0,0,0,0,0
Division by zero in handle at NotificationService.java:90,"java.lang.IndexOutOfBoundsException: Index 70 out of bounds for length 26
    at java.util.ArrayList.get(ArrayList.java:459)
    at com.example.notification.NotificationService.process(NotificationService.java:288)
    at com.example.test.TransformDataNotificationTest.test_transform_data_notification(TransformDataNotificationTest.java:121)",test_transform_data_notification,TypeMismatchException,3764,0,571,9,638,10,70,0.621,26.97,21,76,679,notification,prod,error,maven,macos,kotlin,github_actions,push,hotfix,saturday,0,0,0,1,0,1,0
Assertion failed: result != null was false,,test_search_order_auth,ValidationException,1387,0,133,19,746,3,45,0.342,269.34,161,50,178,auth,prod,warning,maven,linux,go,circleci,push,feature,friday,1,1,0,0,1,0,0
Schema validation failed: userId does not match pattern,,test_filter_connection_notification,NullPointerException,1957,0,255,12,354,17,178,0.376,33.63,203,110,859,notification,staging,info,gradle,windows,java,gitlab_ci,pull_request,main,friday,0,0,0,0,1,1,0
Memory pressure caused GC pause of 325ms during test,"java.net.SocketTimeoutException: Read timed out
    at java.net.SocketInputStream.socketRead0(Native Method)
    at com.example.queue.QueueService.handle(QueueService.java:162)
    at com.example.test.ReadPaymentQueueTest.test_read_payment_queue(ReadPaymentQueueTest.java:46)",test_read_payment_queue,SocketTimeoutException,1923,0,746,90,904,7,176,0.377,25.21,43,262,972,queue,test,critical,go,windows,python,circleci,push,feature,thursday,0,0,1,0,0,0,0
"Cache miss rate spike: 84%, temporary performance degradation","java.lang.IndexOutOfBoundsException: Index 12 out of bounds for length 45
    at java.util.ArrayList.get(ArrayList.java:459)
    at com.example.user.UserService.process(UserService.java:471)
    at com.example.test.CreateDataUserTest.test_create_data_user(CreateDataUserTest.java:24)",test_create_data_user,NullPointerException,619,1,1013,20,730,43,268,0.137,134.51,31,53,802,user,staging,info,pip,linux,rust,jenkins,manual,release,tuesday,0,0,0,1,0,0,0
NullPointerException at AuthService.java:63 - user is null,"java.lang.NullPointerException: Cannot invoke method on null object
    at com.example.auth.AuthService.process(AuthService.java:481)
    at com.example.auth.AuthHandler.validate(AuthHandler.java:416)
    at com.example.test.AuthenticateConnectionAuthTest.test_authenticate_connection_auth(AuthenticateConnectionAuthTest.java:63)",test_authenticate_connection_auth,MissingFieldException,736,0,130,13,979,47,221,0.0,15.87,25,40,214,auth,dev,error,gradle,windows,go,circleci,push,feature,friday,0,0,0,0,0,0,0
"External API elasticsearch returned 503, scheduled retry in 1000ms",,test_filter_cache_analytics,TransientFailureException,6116,0,230,17,862,8,27,0.241,12.18,121,26,149,analytics,dev,error,cargo,macos,kotlin,gitlab_ci,tag,release,wednesday,1,0,1,0,0,1,1
"Resource lock busy, waiting for lock release",,test_transform_response_user,LockContentionException,4158,2,612,33,459,37,332,0.282,12.93,58,27,238,user,dev,warning,gradle,linux,javascript,travis,schedule,release,monday,0,1,0,0,0,0,1
